i,t,y
11,2022-11-03,17.0
11,2022-11-04,25.0
11,2022-11-05,17.0
11,2022-11-06,19.0
11,2022-11-07,25.0
11,2022-11-08,21.0
11,2022-11-09,12.0
11,2022-11-10,17.0
11,2022-11-11,4.0
11,2022-11-12,5.0
11,2022-11-13,6.0
11,2022-11-29,1.0
11,2022-11-30,8.0
11,2022-12-01,13.0
11,2022-12-02,12.0
11,2022-12-03,9.0
11,2022-12-04,10.0
11,2022-12-05,14.0
11,2022-12-06,17.0
11,2022-12-07,12.0
11,2022-12-08,17.0
11,2022-12-09,13.0
11,2022-12-10,12.0
11,2022-12-11,14.0
11,2022-12-12,18.0
11,2022-12-13,15.0
11,2022-12-14,12.0
11,2022-12-15,11.0
11,2022-12-28,1.0
11,2022-12-30,6.0
11,2022-12-31,7.0
11,2023-01-01,19.0
11,2023-01-02,19.0
11,2023-01-03,22.0
11,2023-01-04,22.0
11,2023-01-05,26.0
11,2023-01-06,9.0
11,2023-01-07,11.0
11,2023-01-08,24.0
11,2023-01-09,22.0
11,2023-01-10,13.0
11,2023-01-11,16.0
11,2023-01-12,10.0
11,2023-01-27,1.0
11,2023-01-29,1.0
11,2023-01-31,12.0
11,2023-02-01,26.0
11,2023-02-02,19.0
11,2023-02-03,18.0
11,2023-02-04,14.0
11,2023-02-05,24.0
11,2023-02-06,23.0
11,2023-02-07,19.0
11,2023-02-08,25.0
11,2023-02-09,14.0
11,2023-02-10,9.0
11,2023-02-11,7.0
11,2023-02-12,20.0
11,2023-02-13,20.0
11,2023-02-14,2.0
11,2023-02-25,1.0
11,2023-02-28,8.0
11,2023-03-01,25.0
11,2023-03-02,24.0
11,2023-03-03,9.0
11,2023-03-04,14.0
11,2023-03-05,25.0
11,2023-03-06,17.0
11,2023-03-07,14.0
11,2023-03-08,20.0
11,2023-03-09,22.0
11,2023-03-10,13.0
11,2023-03-11,19.0
11,2023-03-12,15.0
11,2023-03-13,19.0
11,2023-03-14,26.0
11,2023-03-15,16.0
11,2023-03-16,10.0
11,2023-03-30,2.0
11,2023-03-31,4.0
11,2023-04-01,8.0
11,2023-04-02,18.0
11,2023-04-03,21.0
11,2023-04-04,12.0
11,2023-04-05,16.0
11,2023-04-06,13.0
11,2023-04-07,18.0
11,2023-04-08,15.0
11,2023-04-09,15.0
11,2023-04-10,30.0
11,2023-04-11,13.0
11,2023-04-12,19.0
11,2023-04-13,25.0
11,2023-04-14,10.0
11,2023-04-15,9.0
11,2023-04-16,5.0
11,2023-04-25,1.0
11,2023-04-28,13.0
11,2023-04-29,17.0
11,2023-04-30,11.0
11,2023-05-01,22.0
11,2023-05-02,15.0
11,2023-05-03,12.0
11,2023-05-04,13.0
11,2023-05-05,10.0
11,2023-05-06,5.0
11,2023-05-07,5.0
11,2023-05-08,15.0
11,2023-05-09,15.0
11,2023-05-10,11.0
11,2023-05-11,7.0
11,2023-05-12,9.0
11,2023-05-13,2.0
11,2023-05-14,4.0
11,2023-05-15,1.0
11,2023-05-28,1.0
11,2023-05-29,1.0
11,2023-05-30,1.0
11,2023-05-31,8.0
11,2023-06-01,16.0
11,2023-06-02,10.0
11,2023-06-03,11.0
11,2023-06-04,13.0
11,2023-06-05,10.0
11,2023-06-06,11.0
11,2023-06-07,12.0
11,2023-06-08,15.0
11,2023-06-09,15.0
11,2023-06-10,7.0
11,2023-06-11,15.0
