i,t,y
170291,2022-11-28,20.0
170291,2022-12-05,16.0
170291,2022-12-12,6.0
170291,2022-12-19,5.0
170291,2022-12-26,5.0
170291,2023-01-02,4.0
170291,2023-01-09,1.0
170291,2023-01-16,0.0
170291,2023-01-23,30.0
170291,2023-01-30,30.0
170291,2023-02-06,26.0
170291,2023-02-13,23.0
170291,2023-02-20,23.0
170291,2023-02-27,23.0
170291,2023-03-06,19.0
170291,2023-03-13,19.0
170291,2023-03-20,16.0
170291,2023-03-27,16.0
170291,2023-04-03,42.0
170291,2023-04-10,36.0
170291,2023-04-17,64.0
170291,2023-04-24,64.0
170291,2023-05-01,63.0
170291,2023-05-08,57.0
170291,2023-05-15,52.0
170291,2023-05-22,52.0
170291,2023-05-29,52.0
170291,2023-06-05,46.0
170291,2023-06-12,38.0
170291,2023-06-19,96.0
170291,2023-06-26,96.0
170291,2023-07-03,210.0
170291,2023-07-10,204.0
170291,2023-07-17,204.0
170291,2023-07-24,204.0
170291,2023-07-31,204.0
173812,2022-07-04,125.0
173812,2022-07-11,125.0
173812,2022-07-18,125.0
173812,2022-07-25,125.0
173812,2022-08-01,125.0
173812,2022-08-08,125.0
173812,2022-08-15,125.0
173812,2022-08-22,127.0
173812,2022-08-29,127.0
173812,2022-09-05,127.0
173812,2022-09-12,125.0
173812,2022-09-19,125.0
173812,2022-09-26,125.0
173812,2022-10-03,125.0
173812,2022-10-10,125.0
173812,2022-10-17,119.0
173812,2022-10-24,119.0
173812,2022-10-31,119.0
173812,2022-11-07,115.0
173812,2022-11-14,108.0
173812,2022-11-21,108.0
173812,2022-11-28,108.0
173812,2022-12-05,108.0
173812,2022-12-12,108.0
173812,2022-12-19,108.0
173812,2022-12-26,108.0
173812,2023-01-02,101.0
173812,2023-01-09,96.0
173812,2023-01-16,96.0
173812,2023-01-23,96.0
173812,2023-01-30,96.0
173812,2023-02-06,95.0
173812,2023-02-13,92.0
173812,2023-02-20,92.0
173812,2023-02-27,92.0
173812,2023-03-06,92.0
173812,2023-03-13,32.0
173812,2023-03-20,32.0
173812,2023-03-27,32.0
173812,2023-04-03,32.0
173812,2023-04-10,31.0
173812,2023-04-17,29.0
173812,2023-04-24,29.0
173812,2023-05-01,29.0
173812,2023-05-08,24.0
173812,2023-05-15,18.0
173812,2023-05-22,18.0
173812,2023-05-29,18.0
173812,2023-06-05,14.0
173812,2023-06-12,6.0
173812,2023-06-19,1.0
173812,2023-06-26,1.0
173812,2023-07-03,1.0
173812,2023-07-10,0.0
173812,2023-07-17,0.0
173812,2023-07-24,0.0
173812,2023-07-31,0.0
21,2022-07-04,167.0
21,2022-07-11,116.0
21,2022-07-18,235.0
21,2022-07-25,306.0
21,2022-08-01,356.0
21,2022-08-08,465.0
21,2022-08-15,434.0
21,2022-08-22,602.0
21,2022-08-29,600.0
21,2022-09-05,646.0
21,2022-09-12,689.0
21,2022-09-19,638.0
21,2022-09-26,733.0
21,2022-10-03,772.0
21,2022-10-10,757.0
21,2022-10-17,764.0
21,2022-10-24,884.0
21,2022-10-31,877.0
21,2022-11-07,887.0
21,2022-11-14,884.0
21,2022-11-21,1004.0
21,2022-11-28,1004.0
21,2022-12-05,1013.0
21,2022-12-12,863.0
21,2022-12-19,1132.0
21,2022-12-26,1372.0
21,2023-01-02,1339.0
21,2023-01-09,1278.0
21,2023-01-16,1258.0
21,2023-01-23,1282.0
21,2023-01-30,1282.0
21,2023-02-06,1352.0
21,2023-02-13,1400.0
21,2023-02-20,1396.0
21,2023-02-27,1442.0
21,2023-03-06,1401.0
21,2023-03-13,1473.0
21,2023-03-20,1451.0
21,2023-03-27,1523.0
21,2023-04-03,1577.0
21,2023-04-10,1613.0
21,2023-04-17,1572.0
21,2023-04-24,1620.0
21,2023-05-01,1688.0
21,2023-05-08,1715.0
21,2023-05-15,1743.0
21,2023-05-22,1767.0
21,2023-05-29,1767.0
21,2023-06-05,1727.0
21,2023-06-12,1692.0
21,2023-06-19,1692.0
21,2023-06-26,1692.0
21,2023-07-03,1692.0
21,2023-07-10,1692.0
21,2023-07-17,1692.0
21,2023-07-24,1692.0
21,2023-07-31,1692.0
210013,2022-07-04,0.0
210013,2022-07-11,0.0
210013,2022-07-18,0.0
210013,2022-07-25,0.0
210013,2022-08-01,0.0
210013,2022-08-08,0.0
210013,2022-08-15,0.0
210013,2022-08-22,0.0
210013,2022-08-29,0.0
210013,2022-09-05,0.0
210013,2022-09-12,0.0
210013,2022-09-19,0.0
210013,2022-09-26,0.0
210013,2022-10-03,0.0
210013,2022-10-10,0.0
210013,2022-10-17,0.0
210013,2022-10-24,0.0
210013,2022-10-31,0.0
210013,2022-11-07,0.0
210013,2022-11-14,0.0
210013,2022-11-21,0.0
210013,2022-11-28,0.0
210013,2022-12-05,0.0
210013,2022-12-12,0.0
210013,2022-12-19,0.0
210013,2022-12-26,0.0
210013,2023-01-02,0.0
210013,2023-01-09,0.0
210013,2023-01-16,0.0
210013,2023-01-23,0.0
210013,2023-01-30,0.0
210013,2023-02-06,0.0
210013,2023-02-13,0.0
